statistical_rank,selection_rank,test_performance_rank,generalization_rank,model,feature_set,target,statistical_score,selection_rank_score,rank_stability,generalization_rank_score,test_rank_score,r2_train,cv_r2_mean,cv_r2_std,r2_test,mae_test,rmse_test,ioa_test,p20_test,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,rank_test_r2,rank_test_rmse,rank_test_mae,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank,file
11,11,25,26,MLR,fs2,AC,0.755319,15.600000,0.566115,23.800000,23.800000,0.437608,0.248041,0.412659,0.241814,0.191417,0.246880,0.782475,44.000000,0.189567,0.006227,0.189567,0.006227,False,False,True,False,High CV instability,8.000000,43.000000,11.000000,26.000000,26.000000,15.000000,20.666667,18,13.700000,11,19.400000,17,15.333333,17.000000,11.000000,18.000000,7.000000,3.785939,0,0.000000,Unstable selection,12.412000,11.000000,8,27,19,4.833800,0,0.000000,0,0.000000,Unstable selection,21.575000,17,13.400000,14,MLR_fs2_AC.pkl
12,12,2,24,GBR,fs1,AC,0.755319,15.600000,0.648073,22.000000,3.000000,0.442705,0.228220,0.318145,0.402664,0.171362,0.219132,0.805710,40.000000,0.214486,-0.174444,0.214486,0.174444,True,False,True,False,Overfitting with high CV instability,10.000000,34.000000,14.000000,3.000000,3.000000,3.000000,19.333333,15,14.200000,12,18.400000,14,13.666667,14.000000,12.000000,15.000000,3.000000,1.527525,0,0.000000,Unstable selection,12.056000,11.000000,9,22,13,2.451709,0,0.000000,0,0.000000,Unstable selection,18.775000,12,12.000000,11,GBR_fs1_AC.pkl
13,13,15,28,ANN,fs3,AC,0.691489,18.000000,0.697952,27.200000,15.400000,0.460160,0.194680,0.349111,0.278430,0.184038,0.240844,0.775296,46.666667,0.265480,-0.083749,0.265480,0.083749,True,False,True,False,Overfitting with high CV instability,11.000000,35.000000,22.000000,17.000000,17.000000,9.000000,22.666667,20,16.250000,13,21.500000,18,17.000000,18.000000,13.000000,20.000000,7.000000,3.605551,0,0.000000,Unstable selection,14.999000,14.000000,12,25,13,3.051608,0,0.000000,0,0.000000,Unstable selection,20.475000,13,13.300000,13,ANN_fs3_AC.pkl
13,13,29,21,GBR,fs3,AC,0.691489,18.000000,0.891333,21.000000,28.400000,0.425985,0.164645,0.233303,0.231610,0.205844,0.248535,0.743371,34.666667,0.261340,-0.066965,0.261340,0.066965,True,False,True,False,Overfitting with high CV instability,16.000000,21.000000,21.000000,28.000000,28.000000,30.000000,19.333333,16,17.500000,14,19.000000,16,15.333333,16.000000,14.000000,16.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,14.319000,14.000000,12,18,6,0.753530,0,0.000000,0,0.000000,Weight-sensitive,18.575000,11,12.500000,12,GBR_fs3_AC.pkl
15,15,24,34,ET,fs3,AC,0.659574,19.200000,0.662317,29.400000,23.600000,0.582843,0.180158,0.214330,0.255488,0.211904,0.244643,0.732002,28.000000,0.402685,-0.075330,0.402685,0.075330,True,False,True,False,Overfitting with high CV instability,14.000000,15.000000,39.000000,21.000000,21.000000,34.000000,22.666667,20,17.900000,15,21.800000,20,18.333333,20.000000,15.000000,20.000000,5.000000,2.886751,0,0.000000,Unstable selection,15.539000,15.000000,5,26,21,4.855930,0,0.000000,0,0.000000,Unstable selection,23.250000,19,16.900000,17,ET_fs3_AC.pkl
15,15,19,13,ET,fs1,AC,0.659574,19.200000,0.735272,18.000000,19.800000,0.410508,0.141627,0.182848,0.276032,0.203179,0.241244,0.722527,37.333333,0.268881,-0.134405,0.268881,0.134405,True,False,False,False,Possible overfitting,21.000000,9.000000,24.000000,18.000000,18.000000,27.000000,18.000000,12,19.650000,17,18.300000,13,14.000000,13.000000,12.000000,17.000000,5.000000,2.645751,0,0.000000,Unstable selection,16.200000,16.000000,6,23,17,3.050788,0,0.000000,0,0.000000,Unstable selection,21.500000,15,15.500000,15,ET_fs1_AC.pkl
17,17,34,1,SVR,fs4,AC,0.654255,19.400000,0.495604,3.200000,32.800000,0.218530,0.095983,0.166408,0.185857,0.203615,0.255828,0.653002,38.666667,0.122547,-0.089874,0.122547,0.089874,False,True,False,False,Possible underfitting,30.000000,5.000000,2.000000,34.000000,34.000000,28.000000,12.333333,3,22.050000,20,14.100000,6,9.666667,6.000000,3.000000,20.000000,17.000000,9.073772,0,0.000000,Unstable selection,17.649000,17.000000,10,26,16,4.222752,0,0.000000,0,0.000000,Unstable selection,23.650000,20,18.200000,18,SVR_fs4_AC.pkl
18,18,16,32,XGB,fs1,AC,0.632979,20.200000,0.773145,28.800000,15.600000,0.463496,0.169303,0.246733,0.309243,0.202539,0.235646,0.769456,29.333333,0.294193,-0.139941,0.294193,0.139941,True,False,True,False,Overfitting with high CV instability,15.000000,24.000000,32.000000,13.000000,13.000000,26.000000,23.666667,25,18.900000,16,22.800000,22,21.000000,22.000000,16.000000,25.000000,9.000000,4.582576,0,0.000000,Unstable selection,17.870000,18.000000,15,24,9,2.009761,0,0.000000,0,0.000000,Unstable selection,21.300000,14,16.400000,16,XGB_fs1_AC.pkl
19,19,20,33,XGB,fs2,AC,0.611702,21.000000,0.715118,29.000000,20.000000,0.544408,0.163619,0.220328,0.269614,0.199266,0.242311,0.802325,42.666667,0.380789,-0.105994,0.380789,0.105994,True,False,True,False,Overfitting with high CV instability,17.000000,17.000000,37.000000,19.000000,19.000000,24.000000,23.666667,25,20.000000,18,23.000000,23,22.000000,23.000000,18.000000,25.000000,7.000000,3.605551,0,0.000000,Unstable selection,19.449000,19.000000,11,27,16,3.881039,0,0.000000,0,0.000000,Unstable selection,23.850000,21,19.800000,21,XGB_fs2_AC.pkl
20,20,33,7,RIDGE,fs1,AC,0.606383,21.200000,0.753521,14.400000,32.600000,0.343182,0.116746,0.210283,0.218923,0.206813,0.250579,0.681571,36.000000,0.226436,-0.102177,0.226436,0.102177,True,True,True,False,Possible underfitting,26.000000,12.000000,16.000000,33.000000,33.000000,31.000000,18.000000,12,22.400000,22,18.800000,15,16.333333,15.000000,12.000000,22.000000,10.000000,5.131601,0,0.000000,Unstable selection,20.324000,21.000000,15,25,10,2.198604,0,0.000000,0,0.000000,Unstable selection,22.950000,18,19.200000,20,RIDGE_fs1_AC.pkl
