task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
regression,AC,fs4,DT,2,Distance,0.3302513112001044,20.343990659538548,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\DT_permutation_sensitivity.csv
regression,AC,fs4,DT,3,PI,0.1490386617612096,9.181011671874977,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\DT_permutation_sensitivity.csv
regression,AC,fs4,DT,4,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\DT_permutation_sensitivity.csv
regression,AC,fs4,EN,1,Distance,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\EN_permutation_sensitivity.csv
regression,AC,fs4,EN,2,Depth,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\EN_permutation_sensitivity.csv
regression,AC,fs4,EN,3,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\EN_permutation_sensitivity.csv
regression,AC,fs4,EN,4,PI,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\EN_permutation_sensitivity.csv
regression,AC,fs4,ET,1,Distance,0.5809238621179028,42.47523691289392,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ET_permutation_sensitivity.csv
regression,AC,fs4,ET,2,Depth,0.3721203834367418,27.20821518497825,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ET_permutation_sensitivity.csv
regression,AC,fs4,ET,3,PI,0.28639473451309,20.94023845861567,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ET_permutation_sensitivity.csv
regression,AC,fs4,ET,4,Ucs_class,0.1282375871265397,9.376309443512165,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ET_permutation_sensitivity.csv
regression,AC,fs4,GBR,1,Depth,0.8348621495612646,68.05285194625402,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\GBR_permutation_sensitivity.csv
regression,AC,fs4,GBR,2,Distance,0.2354081361469922,19.189030242386465,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\GBR_permutation_sensitivity.csv
regression,AC,fs4,GBR,3,PI,0.1553215789511984,12.660864337877916,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\GBR_permutation_sensitivity.csv
regression,AC,fs4,GBR,4,Ucs_class,0.0011930909815105,0.0972534734816029,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\GBR_permutation_sensitivity.csv
regression,AC,fs4,KNN,1,Distance,0.9510695924206636,34.28313153770686,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\KNN_permutation_sensitivity.csv
regression,AC,fs4,KNN,2,PI,0.8410324569212458,30.31663148300797,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\KNN_permutation_sensitivity.csv
regression,AC,fs4,KNN,3,Depth,0.6877679423776841,24.791917462043177,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\KNN_permutation_sensitivity.csv
