task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
classification,AC,fs2,ANN,1,PI,0.2318476339658068,51.28245743768993,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\ANN_permutation_sensitivity.csv
classification,AC,fs2,ANN,2,FF,0.2012924904227381,44.52395478900204,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\ANN_permutation_sensitivity.csv
classification,AC,fs2,ANN,3,Ucs_class,0.0189591812024755,4.19358777330803,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\ANN_permutation_sensitivity.csv
classification,AC,fs2,DT,1,PI,0.3566520072490476,49.361505617148566,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\DT_permutation_sensitivity.csv
classification,AC,fs2,DT,2,FF,0.3285902233483536,45.47768644471346,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\DT_permutation_sensitivity.csv
classification,AC,fs2,DT,3,Ucs_class,0.0372884191264272,5.160807938137978,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\DT_permutation_sensitivity.csv
classification,AC,fs2,ET,1,FF,0.2122099145156541,47.2895955256901,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\ET_permutation_sensitivity.csv
classification,AC,fs2,ET,2,PI,0.1732218403642725,38.6013574612596,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\ET_permutation_sensitivity.csv
classification,AC,fs2,ET,3,Ucs_class,0.0633137083803183,14.1090470130503,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\ET_permutation_sensitivity.csv
classification,AC,fs2,GBC,1,PI,0.3091880460412481,52.196750517513166,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\GBC_permutation_sensitivity.csv
classification,AC,fs2,GBC,2,FF,0.2792850994257966,47.14857137795804,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\GBC_permutation_sensitivity.csv
classification,AC,fs2,GBC,3,Ucs_class,0.0038779932068247,0.6546781045287835,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\GBC_permutation_sensitivity.csv
classification,AC,fs2,KNN,1,PI,0.4630821378180479,41.60670731532699,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\KNN_permutation_sensitivity.csv
